condition_slug,worker_id,browser_name,browser_version,platform_name,run_duration_ms
baseline-image-image,android-chrome,chrome,146.0.7680.164,ANDROID,575683.3999999966
baseline-image-image,linux-chrome,chrome,148.0.7778.215,linux,542045.4000000004
baseline-image-image,linux-firefox,firefox,151.0.2,linux,545583.0
baseline-image-image,win-chrome,chrome,148.0.7778.181,windows,542173.2000000011
baseline-image-image,win-firefox,firefox,150.0.3,windows,540823.0
baseline-image-text,android-chrome,chrome,146.0.7680.164,ANDROID,574756.0000000075
baseline-image-text,linux-chrome,chrome,148.0.7778.215,linux,541612.6000000015
baseline-image-text,linux-firefox,firefox,151.0.2,linux,543553.0
baseline-image-text,win-chrome,chrome,148.0.7778.181,windows,541818.8000000007
baseline-image-text,win-firefox,firefox,150.0.3,windows,540095.0
baseline-text-text,android-chrome,chrome,146.0.7680.164,ANDROID,571870.6000000015
baseline-text-text,linux-chrome,chrome,148.0.7778.215,linux,541194.6999999974
baseline-text-text,linux-firefox,firefox,151.0.2,linux,541924.0
baseline-text-text,win-chrome,chrome,148.0.7778.181,windows,541506.4000000004
baseline-text-text,win-firefox,firefox,150.0.3,windows,539953.0
cpu-throttling,android-chrome,chrome,146.0.7680.164,ANDROID,604154.0000000056
cpu-throttling,linux-chrome,chrome,148.0.7778.215,linux,555507.7000000039
cpu-throttling,win-chrome,chrome,148.0.7778.181,windows,543977.7000000002
delay-1000,android-chrome,chrome,146.0.7680.164,ANDROID,1090240.1999999955
delay-1000,linux-chrome,chrome,148.0.7778.215,linux,1069143.2000000011
delay-1000,linux-firefox,firefox,151.0.2,linux,1082363.0
delay-1000,win-chrome,chrome,148.0.7778.181,windows,1061842.4999999995
delay-1000,win-firefox,firefox,150.0.3,windows,1064854.0
network-degradation,android-chrome,chrome,146.0.7680.164,ANDROID,1019804.9000000041
network-degradation,linux-chrome,chrome,148.0.7778.215,linux,988126.1000000034
network-degradation,win-chrome,chrome,148.0.7778.181,windows,988184.4999999995
