condition_slug,worker_id,click_delay_ms,platform_name,browser_name,browser_version,session_count,trial_count,client_latency_mean_ms,client_latency_sd_ms,client_latency_min_ms,client_latency_max_ms,db_minus_evaluator_before_mean_ms,db_minus_evaluator_before_sd_ms,db_minus_evaluator_before_min_ms,db_minus_evaluator_before_max_ms,evaluator_after_minus_db_mean_ms,evaluator_after_minus_db_sd_ms,evaluator_after_minus_db_min_ms,evaluator_after_minus_db_max_ms,dispatch_window_mean_ms,dispatch_window_sd_ms,dispatch_window_min_ms,dispatch_window_max_ms,db_inside_evaluator_window_count,db_inside_evaluator_window_percent
baseline-image-image,android-chrome,410,ANDROID,chrome,146.0.7680.164,10,880,410.59,0.63,409.6,423.5,0.3,0.09,0.0,1.0,2.61,0.37,0.7,3.6,2.91,0.41,0.8,4.2,880,100.0
baseline-image-image,linux-chrome,410,linux,chrome,148.0.7778.215,10,880,409.36,0.19,409.1,410.7,0.04,0.05,0.0,0.2,0.27,0.07,0.1,0.5,0.31,0.07,0.1,0.6,880,100.0
baseline-image-image,linux-firefox,410,linux,firefox,151.0.2,10,880,410.36,1.65,409.0,450.0,0.07,0.25,0.0,1.0,0.44,0.52,0.0,2.0,0.51,0.53,0.0,2.0,880,100.0
baseline-image-image,win-chrome,410,windows,chrome,148.0.7778.181,10,880,410.12,0.55,409.1,412.0,0.02,0.04,0.0,0.1,0.14,0.07,0.0,0.4,0.16,0.08,0.0,0.4,880,100.0
baseline-image-image,win-firefox,410,windows,firefox,150.0.3,10,880,410.86,2.11,409.0,448.0,0.04,0.19,0.0,1.0,0.2,0.4,0.0,1.0,0.24,0.43,0.0,2.0,880,100.0
baseline-image-text,android-chrome,410,ANDROID,chrome,146.0.7680.164,10,880,410.67,1.12,409.5,441.2,0.3,0.08,0.1,1.2,2.24,0.58,0.5,3.5,2.53,0.59,0.6,4.2,880,100.0
baseline-image-text,linux-chrome,410,linux,chrome,148.0.7778.215,10,880,409.4,0.29,409.1,410.4,0.04,0.05,0.0,0.2,0.22,0.08,0.0,0.6,0.26,0.08,0.0,0.6,880,100.0
baseline-image-text,linux-firefox,410,linux,firefox,151.0.2,10,880,410.31,1.14,409.0,426.0,0.06,0.23,0.0,1.0,0.37,0.51,0.0,2.0,0.43,0.53,0.0,2.0,880,100.0
baseline-image-text,win-chrome,410,windows,chrome,148.0.7778.181,10,880,410.17,0.6,409.1,412.1,0.02,0.04,0.0,0.2,0.12,0.08,0.0,0.4,0.14,0.08,0.0,0.5,880,100.0
baseline-image-text,win-firefox,410,windows,firefox,150.0.3,10,880,410.75,2.14,409.0,446.0,0.03,0.19,0.0,2.0,0.23,0.44,0.0,2.0,0.27,0.46,0.0,2.0,880,100.0
baseline-text-text,android-chrome,410,ANDROID,chrome,146.0.7680.164,10,880,410.77,0.46,409.7,412.5,0.3,0.09,0.1,1.4,1.69,0.18,0.7,4.3,1.99,0.21,0.9,4.7,880,100.0
